"","Location","State","average_temp","average_hum","average_Rainfall"
"1","Adelaide","South Australia",17.7411727814362,52.2722274583726,1.56635393076674
"2","Albany","Western Australia",16.5097677595628,70.5094827586207,2.26385941644562
"3","Albury","New South Wales",16.0889109566369,60.952081956378,1.91411491198937
"4","AliceSprings","Northern Territory",21.1929206453737,31.9052406064601,0.882849604221638
"5","BadgerysCreek","New South Wales",17.5796427367711,64.1213360599864,2.19310109289617
"6","Ballarat","Victoria",12.8280283080974,70.3741293532338,1.74002642007926
"7","Bendigo","Victoria",15.105454845089,58.4975255691191,1.61938035596572
"8","Brisbane","Queensland",21.4312736443884,58.9694584382872,3.14489085732364
"9","Cairns","Queensland",25.3902105955907,65.8407370845673,5.74203480589023
"10","Canberra","New South Wales",13.8889294049008,59.5708977407847,1.7417203042715
"11","Cobar","New South Wales",19.5134698634699,44.5159944367176,1.12730923694779
"12","CoffsHarbour","New South Wales",19.1961834616672,65.1590604026846,5.06149678293261
"13","Dartmoor","Victoria",14.1514455782313,73.8396260338008,2.14656696125085
"14","Darwin","Northern Territory",27.8760733312441,60.1579937304075,5.09245223927342
"15","GoldCoast","Queensland",21.5619267568459,64.6448412698413,3.76939597315437
"16","Hobart","Tasmania",13.4724937343358,59.2859842519685,1.60181932245922
"17","Katherine","Northern Territory",27.7196989966555,53.6473829201102,3.20108974358974
"18","Launceston","Tasmania",13.3988118811881,68.4018506278916,2.01198811096433
"19","Melbourne","Victoria",16.2731932153392,59.3619223659889,1.87006160164271
"20","MelbourneAirport","Victoria",15.2329012961117,60.6465488496165,1.45197740112994
"21","Mildura","Victoria",17.7862578929877,49.7501664447403,0.945061523112742
"22","Moree","New South Wales",19.926405054872,48.6010992671552,1.6302032235459
"23","MountGambier","South Australia",14.3281147000659,66.3783917935142,2.08756186077202
"24","MountGinini","New South Wales",7.64393835616439,73.1332389809947,3.29226006191951
"25","Newcastle","New South Wales",18.9554517133956,65.67458374143,3.18389170896785
"26","Nhil","Victoria",15.7032760814249,58.9809281627464,0.934862970044615
"27","NorahHead","New South Wales",18.9737276710482,71.0655265831358,3.38729941959713
"28","NorfolkIsland","New South Wales",19.3514133688061,69.3109593604264,3.127665317139
"29","Nuriootpa","South Australia",15.5436768149883,56.0916694546671,1.39034299034299
"30","PearceRAAF","Western Australia",19.1668236877524,51.4535197036039,1.66908037653874
"31","Penrith","New South Wales",18.6667777407531,62.4035836177475,2.1753036437247
"32","Perth","Western Australia",18.9795269423559,54.800220056586,1.90629502035703
"33","PerthAirport","Western Australia",19.0567962778332,50.3547207446808,1.76164838816883
"34","Portland","Victoria",13.8193231077026,72.2455099966113,2.5303738317757
"35","Richmond","New South Wales",17.9073844608171,62.9490946361462,2.13846153846154
"36","Sale","Victoria",14.4252577319588,67.6461821835231,1.51016666666667
"37","SalmonGums","Western Australia",16.779945799458,51.7761647535449,1.03438240270727
"38","Sydney","New South Wales",18.9337226714585,61.4750225699669,3.32454300269703
"39","SydneyAirport","New South Wales",19.1421210106383,59.3769973368842,3.00991680532446
"40","Townsville","Queensland",24.8938919986829,60.6776315789474,3.48559182327729
"41","Tuggeranong","New South Wales",14.0046473302571,59.9881942135018,2.16404269513008
"42","Uluru","Northern Territory",22.4268031189084,33.325641025641,0.784362680683314
"43","WaggaWagga","New South Wales",16.3245264207378,55.21124417831,1.70994623655914
"44","Walpole","Western Australia",16.1345971563981,71.2160829649779,2.90684639943242
"45","Watsonia","Victoria",15.507528314457,66.4913188647746,1.86082027342448
"46","Williamtown","New South Wales",18.3881324900133,62.8491825158492,3.59110849980415
"47","Witchcliffe","Western Australia",16.2287049399199,64.5966401734104,2.89566395663956
"48","Wollongong","New South Wales",18.2008109897385,66.4054551539491,3.59490274983233
"49","Woomera","South Australia",19.9827948034644,40.7895266868076,0.490404546974256
